"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"TNI","TNI","BEP","BLR","CDP","CJB","51","A400M"
"AGX","AGX","COK","BEP","HYD","VGA","40","C212"
"BLR","BLR","CJB","CCJ","IXM","VGA","27","V22"
"BEP","BEP","CDP","CJB","COK","IXE","19","BB1"
"VGA","VGA","HYD","MAA","COK","CCJ","31","BA10"
"CJB","CCJ","CDP","IXZ","IXM","CJB","cant complete trip","SIS99"
"COK","COK","IXE","CDP","HYD","PNY","30","SAH"
"CCJ","CCJ","IXM","MAA","HYD","RJA","35","A319"
"CDP","CDP","TIR","IXM","IXE","IXZ","66","A320"
"HYD","HYD","MAA","PNY","TRZ","IXE","26","A321"
"IXM","IXM","TRV","MAA","RJA","IXZ","61","A330"
"IXE","IXE","TIR","PNY","DIU","IXZ","96","737"
"MAA","MAA","PNY","TRZ","HBX","RJA","30","747"
"IXZ","IXZ","RJA","TIR","TRV","SHL","94","757"
"PNY","PNY","TIR","TRZ","DIU","GAU","90","767"
"RJA","RJA","TRZ","TRV","HBX","DMU","83","777"
"TIR","TIR","TRV","DIU","SHL","TEZ","96","BAE146"
"TRZ","TRZ","HBX","DIU","GAU","DIB","96","DC8"
"TRV","TRV","HBX","SLV","SHL","DMU","cant complete trip","F50"
"DIU","DIU","NDC","GAU","SHL","TEZ","71","MD11"
"HBX","HBX","DHM","GAU","DMU","DIB","95","A400M"
"SHL","SHL","DMU","TEZ","GOP","SLV","52","C212"
"GAU","GAU","TEZ","DIB","NDC","LTU","62","V22"
"DMU","DIB","SLV","MYQ","DHM","DMU","cant complete trip","BB1"
"TEZ","TEZ","GOP","SLV","NDC","YLK","cant complete trip","BA10"
"DIB","NDC","DHM","NAH","LTU","DIB","cant complete trip","SIS99"
"SLV","DHM","GOP","UPG","MYQ","SLV","cant complete trip","SAH"
"NDC","GOP","LTU","BIK","YLK","NDC","cant complete trip","A319"
"DHM","DHM","LTU","MYQ","NAH","NBX","115","A320"
"GOP","GOP","YLK","MYQ","UPG","TIM","103","A321"
"LTU","LTU","YLK","NAH","DJJ","BIK","90","A330"
"MYQ","MYQ","UPG","NAH","WMX","NBX","77","737"
"YLK","YLK","UPG","BIK","MKQ","TIM","76","747"
"NAH","NAH","BIK","NBX","GTO","DJJ","0","757"
"UPG","UPG","NBX","TIM","PLW","WMX","0","767"
"BIK","BIK","TIM","DJJ","MDC","MKQ","0","777"
"NBX","NBX","DJJ","WMX","PSJ","GTO","0","BAE146"
"TIM","TIM","WMX","MKQ","OTI","PLW","0","DC8"
"DJJ","DJJ","MKQ","TTE","GTO","MDC","0","F50"
"WMX","WMX","GTO","PLW","LUW","PSJ","0","MD11"
"MKQ","MKQ","PLW","MDC","AMQ","OTI","0","A400M"
"GTO","GTO","MDC","PSJ","FKQ","TTE","0","C212"
"PLW","PLW","PSJ","OTI","KNG","LUW","0","V22"
"MDC","MDC","OTI","TTE","BXB","AMQ","0","BB1"
"PSJ","PSJ","TTE","LUW","MKW","FKQ","0","BA10"
"OTI","OTI","LUW","AMQ","SOQ","KNG","0","SIS99"
"TTE","AMQ","FKQ","PKU","BXB","TTE","cant complete trip","SAH"
"LUW","LUW","FKQ","KNG","DUM","MKW","0","A319"
"AMQ","AMQ","KNG","BXB","CGK","SOQ","0","A320"
"FKQ","FKQ","BXB","MKW","GNS","PKU","0","A321"
"KNG","KNG","MKW","SOQ","PDG","DUM","0","A330"
"BXB","BXB","SOQ","PKU","MES","CGK","0","737"
"MKW","MKW","PKU","DUM","KTG","GNS","0","747"
"SOQ","SOQ","DUM","CGK","PNK","PDG","0","757"
"PKU","PKU","CGK","GNS","DJB","MES","0","767"
"DUM","DUM","GNS","PDG","BKS","KTG","0","777"
"CGK","CGK","PDG","MES","PLM","PNK","0","BAE146"
"GNS","GNS","MES","KTG","RGT","DJB","0","DC8"
"PDG","PDG","KTG","PNK","BTJ","BKS","0","F50"
"MES","MES","PNK","DJB","KDI","PLM","0","MD11"
"KTG","KTG","DJB","BKS","SBG","RGT","0","A400M"
"PNK","BKS","PLM","MLG","BTJ","PNK","cant complete trip","C212"
"DJB","DJB","PLM","RGT","BDO","KDI","0","V22"
"BKS","RGT","BTJ","CBN","SBG","BKS","cant complete trip","BB1"
"PLM","BTJ","KDI","JOG","MLG","PLM","cant complete trip","BA10"
"RGT","KDI","SBG","CXP","BDO","RGT","cant complete trip","SIS99"
"BTJ","SBG","MLG","PCB","CBN","BTJ","cant complete trip","SAH"
"KDI","KDI","MLG","BDO","SRG","JOG","0","A319"
"SBG","SBG","BDO","CBN","BTH","CXP","0","A320"
"MLG","MLG","CBN","JOG","TJQ","PCB","0","A321"
"BDO","BDO","JOG","CXP","PGK","SRG","0","A330"
"CBN","CBN","CXP","PCB","TNJ","BTH","0","737"
"JOG","JOG","PCB","SRG","SIQ","TJQ","0","747"
"CXP","CXP","SRG","BTH","BDJ","PGK","0","757"
"PCB","PCB","BTH","TJQ","PKN","TNJ","0","767"
"SRG","SRG","TJQ","PGK","PKY","SIQ","0","777"
"BTH","BTH","PGK","TNJ","MOF","BDJ","0","BAE146"
"TJQ","TJQ","TNJ","SIQ","ENE","PKN","0","DC8"
"PGK","PGK","SIQ","BDJ","RTG","PKY","0","F50"
"TNJ","TNJ","BDJ","PKN","KOE","MOF","0","MD11"
"SIQ","SIQ","PKN","PKY","LBJ","ENE","0","A400M"
"BDJ","BDJ","PKY","MOF","BPN","RTG","0","C212"
"PKN","PKN","MOF","ENE","TRK","KOE","0","V22"
"PKY","PKY","ENE","RTG","SRI","LBJ","0","BB1"
"MOF","MOF","RTG","KOE","AMI","BPN","0","BA10"
"ENE","KOE","LBJ","BMU","TRK","ENE","cant complete trip","SIS99"
"RTG","RTG","LBJ","BPN","WGP","SRI","0","SAH"
"KOE","KOE","BPN","TRK","SUB","AMI","0","A319"
"LBJ","LBJ","TRK","SRI","SOC","BMU","0","A320"
"BPN","BPN","SRI","AMI","DPS","WGP","0","A321"
"TRK","TRK","AMI","BMU","SWQ","SUB","0","A330"
"SRI","SRI","BMU","WGP","TMC","SOC","0","737"
"AMI","AMI","WGP","SUB","BUI","DPS","0","747"
"BMU","BMU","SUB","SOC","SEH","SWQ","0","757"
"WGP","WGP","SOC","DPS","TJS","TMC","0","767"
"SUB","SUB","DPS","SWQ","DTD","BUI","0","777"
"SOC","SOC","SWQ","TMC","BEJ","SEH","cant complete trip","BAE146"
"DPS","DPS","TMC","BUI","TJG","TJS","0","DC8"
"SWQ","BUI","SEH","SMQ","DTD","SWQ","cant complete trip","F50"
"TMC","TMC","SEH","TJS","LUV","BEJ","0","MD11"
