"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"TNI","BEP","BLR","CJB","CDP","TNI","45","A400M"
"AGX","BEP","HYD","VGA","COK","AGX","37","C212"
"BLR","VGA","IXM","CJB","CCJ","BLR","26","V22"
"BEP","IXE","COK","CJB","CDP","BEP","19","BB1"
"VGA","MAA","COK","CCJ","HYD","VGA","29","BA10"
"CJB","CCJ","CDP","IXZ","IXM","CJB","N/A","Not Feasible"
"COK","PNY","CDP","HYD","IXE","COK","28","SAH"
"CCJ","HYD","RJA","MAA","IXM","CCJ","33","A319"
"CDP","IXE","IXM","IXZ","TIR","CDP","59","A320"
"HYD","IXE","TRZ","PNY","MAA","HYD","26","A321"
"IXM","MAA","RJA","IXZ","TRV","IXM","60","A330"
"IXE","PNY","IXZ","TIR","DIU","IXE","82","737"
"MAA","PNY","TRZ","HBX","RJA","MAA","30","747"
"IXZ","SHL","RJA","TIR","TRV","IXZ","85","757"
"PNY","TIR","GAU","DIU","TRZ","PNY","85","767"
"RJA","TRZ","TRV","HBX","DMU","RJA","83","777"
"TIR","TRV","DIU","TEZ","SHL","TIR","96","BAE146"
"TRZ","HBX","DIU","DIB","GAU","TRZ","95","DC8"
"TRV","HBX","SHL","SLV","DMU","TRV","N/A","Not Feasible"
"DIU","SHL","TEZ","GAU","NDC","DIU","71","MD11"
"HBX","GAU","DMU","DIB","DHM","HBX","93","A400M"
"SHL","DMU","TEZ","SLV","GOP","SHL","51","C212"
"GAU","DIB","TEZ","LTU","NDC","GAU","61","V22"
"DMU","DIB","SLV","MYQ","DHM","DMU","N/A","Not Feasible"
"TEZ","SLV","NDC","YLK","GOP","TEZ","N/A","Not Feasible"
"DIB","NDC","DHM","NAH","LTU","DIB","N/A","Not Feasible"
"SLV","DHM","GOP","UPG","MYQ","SLV","N/A","Not Feasible"
"NDC","GOP","LTU","BIK","YLK","NDC","N/A","Not Feasible"
"DHM","LTU","MYQ","NAH","NBX","DHM","115","A320"
"GOP","YLK","MYQ","UPG","TIM","GOP","103","A321"
"LTU","YLK","NAH","DJJ","BIK","LTU","90","A330"
"MYQ","UPG","NAH","WMX","NBX","MYQ","77","737"
"YLK","UPG","BIK","MKQ","TIM","YLK","76","747"
"NAH","BIK","NBX","GTO","DJJ","NAH","N/A","Not Feasible"
"UPG","NBX","TIM","PLW","WMX","UPG","N/A","Not Feasible"
"BIK","TIM","DJJ","MDC","MKQ","BIK","N/A","Not Feasible"
"NBX","DJJ","WMX","PSJ","GTO","NBX","N/A","Not Feasible"
"TIM","WMX","MKQ","OTI","PLW","TIM","N/A","Not Feasible"
"DJJ","MKQ","GTO","TTE","MDC","DJJ","N/A","Not Feasible"
"WMX","GTO","PLW","LUW","PSJ","WMX","N/A","Not Feasible"
"MKQ","PLW","MDC","AMQ","OTI","MKQ","N/A","Not Feasible"
"GTO","MDC","PSJ","FKQ","TTE","GTO","N/A","Not Feasible"
"PLW","PSJ","OTI","KNG","LUW","PLW","N/A","Not Feasible"
"MDC","OTI","TTE","BXB","AMQ","MDC","N/A","Not Feasible"
"PSJ","TTE","LUW","MKW","FKQ","PSJ","N/A","Not Feasible"
"OTI","LUW","AMQ","SOQ","KNG","OTI","N/A","Not Feasible"
"TTE","AMQ","FKQ","PKU","BXB","TTE","N/A","Not Feasible"
"LUW","FKQ","KNG","DUM","MKW","LUW","N/A","Not Feasible"
"AMQ","KNG","BXB","CGK","SOQ","AMQ","N/A","Not Feasible"
