"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"KCZ","ITM","HNA","TTJ","TAK","KCZ","12","V22"
"MYJ","TTJ","AXT","AOJ","TKS","MYJ","15","BB1"
"ITM","TKS","TAK","MSJ","GAJ","ITM","13","BA10"
"TTJ","TAK","SDJ","AOJ","HNA","TTJ","14","SIS99"
"TKS","AOJ","AXT","GAJ","HAC","TKS","16","SAH"
"TAK","GAJ","HNA","MSJ","OIM","TAK","15","A319"
"AOJ","HNA","AXT","HND","SDJ","AOJ","8","A320"
"GAJ","AXT","MSJ","OKO","HAC","GAJ","12","A321"
"HNA","MSJ","SDJ","OKA","OIM","HNA","32","A330"
"AXT","SDJ","HAC","DNA","HND","AXT","29","737"
"MSJ","ISG","HAC","OIM","OKO","MSJ","37","747"
"SDJ","HND","OIM","UEO","OKA","SDJ","27","757"
"HAC","HND","OKO","MMD","DNA","HAC","24","767"
"OIM","OKO","OKA","MMY","ISG","OIM","28","777"
"HND","DNA","UEO","OKA","KTD","HND","23","BAE146"
"OKO","DNA","ISG","SHI","MMD","OKO","28","DC8"
"OKA","ISG","MMY","UEO","RNJ","OKA","5","F50"
"DNA","UEO","OGN","MMD","KTD","DNA","11","MD11"
"ISG","MMY","MMD","NTQ","SHI","ISG","27","A400M"
"UEO","MMY","KTD","NGO","RNJ","UEO","23","C212"
"MMD","KTD","SHI","OGN","UKB","MMD","25","V22"
"MMY","SHI","RNJ","NTQ","KIX","MMY","26","BB1"
"KTD","RNJ","OGN","KIJ","NGO","KTD","N/A","Not Feasible"
"SHI","OGN","NTQ","MYE","UKB","SHI","N/A","Not Feasible"
"RNJ","NGO","NTQ","SYO","KIX","RNJ","25","SAH"
"OGN","NGO","KIJ","ONJ","UKB","OGN","34","A319"
"NTQ","UKB","KIX","MYE","FKS","NTQ","9","A320"
"NGO","KIX","IWJ","SYO","KIJ","NGO","12","A321"
"UKB","KIJ","ONJ","MYE","NKM","UKB","13","A330"
"KIX","SYO","FKS","MYE","HSG","KIX","16","737"
"KIJ","SYO","ONJ","OKD","IWJ","KIJ","18","747"
"MYE","FKS","KUH","ONJ","NKM","MYE","16","757"
"SYO","FKS","FSZ","HSG","IWJ","SYO","15","767"
"ONJ","NKM","UKY","IWJ","OKD","ONJ","17","777"
"FKS","NKM","TJH","HSG","KUH","FKS","23","BAE146"
"IWJ","HSG","AXJ","FSZ","OKD","IWJ","23","DC8"
"NKM","OKD","KUH","UKY","KKX","NKM","30","F50"
"HSG","AGJ","FSZ","KUH","TJH","HSG","36","MD11"
"OKD","FSZ","UKY","AXJ","BPU","OKD","23","A400M"
"KUH","UKY","KKX","TJH","QOT","KUH","31","C212"
"FSZ","TJH","HIW","AXJ","AGJ","FSZ","20","V22"
"UKY","TYO","KKX","AXJ","BPU","UKY","18","BB1"
"TJH","KKX","AGJ","KJP","QOT","TJH","N/A","Not Feasible"
"AXJ","AGJ","BPU","JER","HIW","AXJ","N/A","Not Feasible"
"KKX","BPU","QOT","JON","TYO","KKX","N/A","Not Feasible"
"AGJ","QOT","HIW","AMM","KJP","AGJ","N/A","Not Feasible"
"BPU","HIW","TYO","JER","ADJ","BPU","16798","A320"
"QOT","AQJ","KJP","JON","TYO","QOT","17107","A321"
"HIW","KJP","JER","AMM","OMF","HIW","16885","A330"
"TYO","JER","JON","ALA","ADJ","TYO","N/A","Not Feasible"
"KJP","AQJ","AMM","TSE","JON","KJP","11526","747"
"JER","AMM","ADJ","OMF","DMB","JER","9739","757"
"JON","ALA","AQJ","ADJ","CIT","JON","14671","767"
"AMM","OMF","URA","TSE","AQJ","AMM","3735","777"
"ADJ","OMF","ALA","PWQ","DMB","ADJ","N/A","Not Feasible"
"AQJ","CIT","ALA","PLX","TSE","AQJ","4571","DC8"
"OMF","TSE","DMB","AKX","URA","OMF","N/A","Not Feasible"
"ALA","DMB","CIT","BXH","PWQ","ALA","13","MD11"
"TSE","URA","GUW","CIT","PLX","TSE","25","A400M"
"DMB","PWQ","URA","AKX","KZO","DMB","22","C212"
"CIT","SCO","PWQ","PLX","BXH","CIT","24","V22"
"URA","PLX","AKX","KGF","GUW","URA","N/A","Not Feasible"
"PWQ","UKK","BXH","AKX","KZO","PWQ","22","BA10"
"PLX","BXH","GUW","PPK","SCO","PLX","N/A","Not Feasible"
"AKX","GUW","KZO","KGF","KSN","AKX","17","SAH"
"BXH","KZO","SCO","DZN","UKK","BXH","23","A319"
"GUW","SCO","KGF","KOV","PPK","GUW","19","A320"
"KZO","KGF","UKK","AYK","KSN","KZO","18","A321"
"SCO","PPK","UKK","TDK","DZN","SCO","28","A330"
"KGF","EDL","KSN","PPK","KOV","KGF","104","737"
"UKK","KSN","KIS","DZN","AYK","UKK","110","747"
"PPK","KOV","TDK","KTL","DZN","PPK","105","757"
"KSN","KOV","AYK","EDL","LOK","KSN","103","767"
"DZN","AYK","TDK","LAU","KIS","DZN","111","777"
"KOV","TDK","EDL","MBA","KTL","KOV","N/A","Not Feasible"
"AYK","WIL","EDL","KIS","LOK","AYK","101","DC8"
"TDK","KIS","KTL","WJR","LAU","TDK","N/A","Not Feasible"
"EDL","KTL","LOK","BMQ","MBA","EDL","18","MD11"
"KIS","LOK","LAU","NBO","WIL","KIS","17","A400M"
"KTL","MBA","LAU","KWY","WJR","KTL","19","C212"
"LOK","MBA","BMQ","WIL","NYK","LOK","18","V22"
"LAU","WJR","WIL","NBO","MYD","LAU","14","BB1"
"MBA","BMQ","KWY","WJR","LKG","MBA","24","BA10"
"WIL","BMQ","ASV","NBO","NYK","WIL","10","SIS99"
"WJR","KWY","MYD","NBO","UAS","WJR","15","SAH"
"BMQ","KWY","NYK","LKG","MRE","BMQ","24","A319"
"NBO","NYK","MYD","UKA","ASV","NBO","11","A320"
"KWY","MYD","UAS","LKG","OYL","KWY","23","A321"
"NYK","LKG","MRE","ASV","GAS","NYK","19","A330"
"MYD","HOA","UAS","ASV","UKA","MYD","12","737"
"LKG","MRE","UAS","OYL","KLK","LKG","16","747"
"ASV","MRE","KEY","GAS","UKA","ASV","15","757"
"UAS","OYL","HOA","UKA","ILU","UAS","17","767"
"MRE","GAS","OYL","KLK","KRV","MRE","16","777"
"UKA","HOA","GAS","NYE","KEY","UKA","14","BAE146"
"OYL","HOA","KLK","TRW","ILU","OYL","N/A","Not Feasible"
"GAS","KLK","KEY","TBF","KRV","GAS","N/A","Not Feasible"
"HOA","NYE","KEY","ILU","CIS","HOA","12118","MD11"
"KLK","ILU","KRV","CXI","TRW","KLK","N/A","Not Feasible"
"KEY","KRV","NYE","ABF","TBF","KEY","N/A","Not Feasible"
"ILU","NYE","TRW","MZK","CIS","ILU","N/A","Not Feasible"
"KRV","TRW","TBF","AEA","CXI","KRV","N/A","Not Feasible"
"NYE","TBF","CIS","AAK","ABF","NYE","N/A","Not Feasible"
"TRW","CIS","CXI","KUC","MZK","TRW","N/A","Not Feasible"
"TBF","CXI","ABF","AIS","AEA","TBF","N/A","Not Feasible"
"CIS","MZK","ABF","AAK","TMN","CIS","2715","A319"
"CXI","MZK","KUC","AEA","BEZ","CXI","4943","A320"
"ABF","AEA","AAK","NIG","AIS","ABF","1352","A321"
"MZK","BBG","KUC","AAK","TMN","MZK","1058","A330"
"AEA","KUC","MTK","AIS","BEZ","AEA","1579","737"
"AAK","TMN","AIS","NIG","MNK","AAK","1298","747"
"KUC","NON","TMN","BEZ","BBG","KUC","1071","757"
"AIS","NIG","BEZ","TSU","MTK","AIS","1564","767"
"TMN","NIG","MNK","BBG","FNJ","TMN","5165","777"
"BEZ","BBG","MTK","KWI","NON","BEZ","N/A","Not Feasible"
"NIG","MTK","MNK","FRU","TSU","NIG","N/A","Not Feasible"
"BBG","MNK","NON","OSS","FNJ","BBG","N/A","Not Feasible"
"MTK","KWI","LPQ","TSU","NON","MTK","27454","MD11"
"MNK","TSU","FNJ","PKZ","FRU","MNK","N/A","Not Feasible"
"NON","FNJ","KWI","ZVK","OSS","NON","N/A","Not Feasible"
"TSU","KWI","FRU","VTE","LPQ","TSU","N/A","Not Feasible"
"FNJ","FRU","OSS","XKH","PKZ","FNJ","N/A","Not Feasible"
"KWI","OSS","LPQ","LXG","ZVK","KWI","N/A","Not Feasible"
"FRU","LPQ","PKZ","ODY","VTE","FRU","N/A","Not Feasible"
"OSS","PKZ","ZVK","OUI","XKH","OSS","N/A","Not Feasible"
"LPQ","ZVK","VTE","VNA","LXG","LPQ","N/A","Not Feasible"
"PKZ","VTE","XKH","LPX","ODY","PKZ","7550","A320"
"ZVK","XKH","RIX","LXG","OUI","ZVK","7311","A321"
"VTE","ODY","VTS","LXG","VNA","VTE","7455","A330"
"XKH","ODY","OUI","LPX","BEY","XKH","2755","737"
"LXG","VNA","MSU","OUI","RIX","LXG","8042","747"
"ODY","VNA","LPX","MLW","VTS","ODY","13829","757"
"OUI","RIX","LPX","ROB","BEY","OUI","6481","767"
"VNA","RIX","VTS","CPA","MSU","VNA","7385","777"
"LPX","VTS","BEY","GHT","MLW","LPX","N/A","Not Feasible"
"RIX","AKF","BEY","MSU","ROB","RIX","5278","DC8"
"VTS","MSU","MLW","BEN","CPA","VTS","N/A","Not Feasible"
"BEY","MLW","ROB","GHT","SEB","BEY","1896","MD11"
"MSU","ROB","CPA","TIP","AKF","MSU","N/A","Not Feasible"
"MLW","CPA","GHT","LTD","BEN","MLW","N/A","Not Feasible"
"ROB","GHT","AKF","QUB","SEB","ROB","N/A","Not Feasible"
"CPA","AKF","BEN","MRA","TIP","CPA","N/A","Not Feasible"
"GHT","SEB","BEN","LAQ","LTD","GHT","2269","BA10"
"AKF","SEB","MJI","TIP","QUB","AKF","2405","SIS99"
"BEN","LTD","TIP","MRA","TOB","BEN","1993","SAH"
"SEB","QUB","LTD","SRX","LAQ","SEB","2013","A319"
"TIP","QUB","MRA","SQQ","MJI","TIP","5561","A320"
"LTD","HLJ","TOB","LAQ","MRA","LTD","5877","A321"
"QUB","MJI","KUN","LAQ","SRX","QUB","5627","A330"
"MRA","TOB","SQQ","PLQ","MJI","MRA","5386","737"
"LAQ","SRX","HLJ","VNO","TOB","LAQ","5263","747"
"MJI","SRX","SQQ","PNV","KUN","MJI","5006","757"
"TOB","SQQ","HLJ","PLQ","LUX","TOB","5747","767"
"SRX","MFM","HLJ","KUN","VNO","SRX","10528","777"
"SQQ","KUN","PLQ","XZM","PNV","SQQ","N/A","Not Feasible"
"HLJ","PLQ","LUX","OHD","VNO","HLJ","3059","DC8"
"KUN","VNO","PNV","SKP","MFM","KUN","N/A","Not Feasible"
"PLQ","PNV","XZM","TNR","LUX","PLQ","10390","MD11"
"VNO","LUX","MFM","ZVA","OHD","VNO","N/A","Not Feasible"
"PNV","MFM","XZM","SMS","SKP","PNV","N/A","Not Feasible"
"LUX","XZM","OHD","TMM","TNR","LUX","N/A","Not Feasible"
"MFM","OHD","SKP","MOQ","ZVA","MFM","N/A","Not Feasible"
"XZM","SKP","TNR","DIE","SMS","XZM","N/A","Not Feasible"
"OHD","TNR","ZVA","WMR","TMM","OHD","N/A","Not Feasible"
"SKP","ZVA","SMS","ZWA","MOQ","SKP","N/A","Not Feasible"
"TNR","SMS","TMM","AMB","DIE","TNR","N/A","Not Feasible"
"ZVA","TMM","MOQ","ANM","WMR","ZVA","N/A","Not Feasible"
"SMS","MOQ","DIE","HVA","ZWA","SMS","N/A","Not Feasible"
"TMM","DIE","WMR","MJN","AMB","TMM","N/A","Not Feasible"
"MOQ","WMR","ZWA","NOS","ANM","MOQ","N/A","Not Feasible"
"DIE","ZWA","AMB","BPY","HVA","DIE","N/A","Not Feasible"
"WMR","AMB","ANM","WMN","MJN","WMR","N/A","Not Feasible"
"ZWA","ANM","HVA","SVB","NOS","ZWA","N/A","Not Feasible"
"AMB","HVA","MJN","VOH","BPY","AMB","N/A","Not Feasible"
"ANM","MJN","NOS","WAI","WMN","ANM","N/A","Not Feasible"
"HVA","NOS","BPY","FTU","SVB","HVA","N/A","Not Feasible"
"MJN","BPY","WMN","WFI","VOH","MJN","N/A","Not Feasible"
"NOS","WMN","SVB","RVA","WAI","NOS","N/A","Not Feasible"
"BPY","SVB","VOH","WVK","FTU","BPY","N/A","Not Feasible"
"WMN","VOH","WAI","MNJ","WFI","WMN","N/A","Not Feasible"
"SVB","WAI","FTU","MXM","RVA","SVB","N/A","Not Feasible"
"VOH","FTU","WFI","TLE","WVK","VOH","N/A","Not Feasible"
"WAI","WFI","RVA","MJA","MNJ","WAI","N/A","Not Feasible"
"FTU","RVA","WVK","WMA","MXM","FTU","N/A","Not Feasible"
"WFI","WVK","MNJ","TTS","TLE","WFI","N/A","Not Feasible"
"RVA","MNJ","MXM","WMP","MJA","RVA","N/A","Not Feasible"
"WVK","MXM","TLE","DWB","WMA","WVK","N/A","Not Feasible"
"MNJ","TLE","MJA","IVA","TTS","MNJ","N/A","Not Feasible"
"MXM","MJA","WMA","WPB","WMP","MXM","N/A","Not Feasible"
"TLE","WMA","TTS","WAM","DWB","TLE","N/A","Not Feasible"
"MJA","TTS","WMP","WTS","IVA","MJA","N/A","Not Feasible"
"WMA","WMP","DWB","WTA","WPB","WMA","N/A","Not Feasible"
"TTS","DWB","IVA","TVA","WAM","TTS","N/A","Not Feasible"
"WMP","IVA","WPB","MXT","WTS","WMP","N/A","Not Feasible"
"DWB","WPB","WAM","BMD","WTA","DWB","N/A","Not Feasible"
"IVA","WAM","WTS","JVA","TVA","IVA","N/A","Not Feasible"
"WPB","WTS","WTA","WAQ","MXT","WPB","N/A","Not Feasible"
"WAM","WTA","TVA","AMY","BMD","WAM","N/A","Not Feasible"
"WTS","TVA","MXT","DVD","JVA","WTS","N/A","Not Feasible"
"WTA","MXT","BMD","ATJ","WAQ","WTA","N/A","Not Feasible"
"TVA","BMD","JVA","OVA","AMY","TVA","N/A","Not Feasible"
"MXT","JVA","WAQ","BLZ","DVD","MXT","2","BB1"
"BMD","WAQ","AMY","KGJ","ATJ","BMD","N/A","Not Feasible"
"JVA","AMY","DVD","LLW","OVA","JVA","N/A","Not Feasible"
"WAQ","DVD","ATJ","ZZU","BLZ","WAQ","N/A","Not Feasible"
"AMY","ATJ","OVA","KGJ","CMK","AMY","3","A319"
"DVD","OVA","BLZ","LIX","LLW","DVD","2","A320"
"ATJ","BLZ","KGJ","ZZU","BTU","ATJ","1978","A321"
"OVA","KGJ","LLW","CMK","KCH","OVA","1959","A330"
"BLZ","LLW","ZZU","LMN","LIX","BLZ","N/A","Not Feasible"
"KGJ","MUR","BTU","CMK","ZZU","KGJ","2322","747"
"LLW","LIX","MYY","KCH","CMK","LLW","2320","757"
"ZZU","LMN","BTU","SBW","LIX","ZZU","2357","767"
"CMK","LDU","MUR","BTU","KCH","CMK","2442","777"
"LIX","KCH","LMN","BKI","MYY","LIX","N/A","Not Feasible"
"BTU","MUR","LMN","LBU","SBW","BTU","253","DC8"
"KCH","MYY","MUR","LDU","TWU","KCH","513","F50"
"LMN","MYY","SBW","AOR","BKI","LMN","948","MD11"
"MUR","SBW","KBR","LBU","LDU","MUR","954","A400M"
"MYY","KUA","BKI","LDU","TWU","MYY","884","C212"
"SBW","LBU","BKI","AOR","KTE","SBW","950","V22"
"LDU","LBU","TWU","IPH","KBR","LDU","N/A","Not Feasible"
"BKI","TWU","AOR","JHB","KUA","BKI","N/A","Not Feasible"
"LBU","AOR","KBR","KUL","KTE","LBU","N/A","Not Feasible"
"TWU","KBR","KUA","LGK","IPH","TWU","N/A","Not Feasible"
"AOR","KTE","KUA","JHB","MKZ","AOR","349","A319"
"KBR","IPH","KUL","KTE","TGG","KBR","237","A320"
"KUA","JHB","IPH","PEN","LGK","KUA","359","A321"
"KTE","KUL","MKZ","JHB","TOD","KTE","223","A330"
"IPH","LGK","TGG","KUL","SZB","IPH","301","737"
"JHB","MKZ","PEN","LGK","RDN","JHB","393","747"
"KUL","MKZ","TOD","MZV","TGG","KUL","800","757"
"LGK","TGG","SDK","SZB","PEN","LGK","1103","767"
"MKZ","PEN","RDN","LBP","TOD","MKZ","919","777"
"TGG","SZB","TOD","BLG","MZV","TGG","807","BAE146"
"PEN","SZB","LGL","SDK","RDN","PEN","1071","DC8"
"TOD","RDN","MZV","ODN","LBP","TOD","781","F50"
"SZB","SDK","MZV","BLG","MKM","SZB","979","MD11"
"RDN","SDK","BKM","LBP","LGL","RDN","898","A400M"
"MZV","BLG","LBP","ODN","LWY","MZV","179","C212"
"SDK","BBN","LGL","BLG","MKM","SDK","390","V22"
"LBP","LGL","ODN","BKM","TMG","LBP","246","BB1"
"BLG","ODN","LWY","KUD","MKM","BLG","375","BA10"
"LGL","MKM","BKM","PKG","BBN","LGL","N/A","Not Feasible"
"ODN","BKM","TMG","LWY","TGC","ODN","465","SAH"
"MKM","LWY","KUD","BBN","LKH","MKM","378","A319"
"BKM","BBN","PKG","LAC","TMG","BKM","1061","A320"
"LWY","TMG","KUD","ZWR","TGC","LWY","6104","A321"
"BBN","KUD","PKG","XKL","LKH","BBN","1007","A330"
"TMG","LAC","TGC","PKG","MLE","TMG","1707","737"
"KUD","LKH","TGC","KDM","ZWR","KUD","4718","747"
"PKG","GAN","LKH","LAC","XKL","PKG","1616","757"
"TGC","MLE","ZWR","HAQ","LAC","TGC","3712","767"
"LKH","XKL","KDO","ZWR","KDM","LKH","3691","777"
"LAC","XKL","MLE","MSI","GAN","LAC","N/A","Not Feasible"
"ZWR","HAQ","MLE","VAM","KDM","ZWR","2235","DC8"
"XKL","KDM","GAN","IRU","KDO","XKL","N/A","Not Feasible"
"MLE","GAN","MSI","DHG","HAQ","MLE","105","MD11"
"KDM","GKK","KDO","HAQ","VAM","KDM","88","A400M"
"GAN","KDO","MSI","BKO","IRU","GAN","N/A","Not Feasible"
"HAQ","MSI","VAM","GAQ","DHG","HAQ","N/A","Not Feasible"
"KDO","VAM","IRU","KYS","GKK","KDO","N/A","Not Feasible"
"MSI","IRU","DHG","MZI","BKO","MSI","N/A","Not Feasible"
"VAM","DHG","GKK","TOM","GAQ","VAM","N/A","Not Feasible"
"IRU","GKK","BKO","MLA","KYS","IRU","N/A","Not Feasible"
"DHG","BKO","GAQ","GZM","MZI","DHG","N/A","Not Feasible"
"GKK","JCO","GAQ","KYS","TOM","GKK","3088","A320"
"BKO","KYS","MZI","MAJ","MLA","BKO","N/A","Not Feasible"
"GAQ","MZI","TOM","KWA","GZM","GAQ","N/A","Not Feasible"
"KYS","TOM","MLA","ENT","JCO","KYS","N/A","Not Feasible"
"MZI","GZM","MAJ","MIJ","MLA","MZI","31803","747"
"TOM","GZM","JCO","WTO","KWA","TOM","N/A","Not Feasible"
"MLA","JCO","MAJ","WTE","ENT","MLA","N/A","Not Feasible"
"GZM","KWA","MIJ","MAJ","WJA","GZM","28842","777"
"JCO","KWA","ENT","UIT","WTO","JCO","N/A","Not Feasible"
"MAJ","MIJ","ENT","RNP","WTE","MAJ","2377","DC8"
"KWA","WTO","NDK","MIJ","WJA","KWA","1661","F50"
"ENT","WTO","WTE","UIT","MJE","ENT","2191","MD11"
"MIJ","WJA","WTE","RNP","MJB","MIJ","1655","A400M"
"WTO","MAV","WJA","UIT","NDK","WTO","1623","C212"
"WTE","UIT","MJE","RNP","LIK","WTE","1399","V22"
"WJA","NDK","RNP","MJB","KBT","WJA","1710","BB1"
"UIT","NDK","MJE","JEJ","MAV","UIT","1083","BA10"
"RNP","MJE","JAT","MJB","LIK","RNP","1273","SIS99"
"NDK","MAV","KBT","MJB","BII","NDK","1891","SAH"
"MJE","LIK","MAV","AUL","JEJ","MJE","858","A319"
"MJB","KBT","JAT","LIK","AIM","MJB","864","A320"
"MAV","KBT","UTK","BII","JEJ","MAV","1565","A321"
"LIK","JEJ","JAT","KIO","AUL","LIK","1085","A330"
"KBT","JAT","UJE","BII","AIM","KBT","1530","737"
"JEJ","BII","UTK","AUL","IMI","JEJ","1735","747"
"JAT","AIM","AUL","TIC","KIO","JAT","1241","757"
"BII","UTK","AIM","EAL","UJE","BII","1288","767"
"AUL","UTK","LML","KIO","IMI","AUL","1661","777"
"AIM","UJE","KIO","AIC","TIC","AIM","1674","BAE146"
"UTK","IMI","EJT","UJE","EAL","UTK","1817","DC8"
"KIO","IMI","TIC","FDF","LML","KIO","N/A","Not Feasible"
"UJE","IEO","TIC","AIC","EAL","UJE","16989","MD11"
"IMI","EAL","LML","TIY","EJT","IMI","N/A","Not Feasible"
"TIC","LML","AIC","KFA","FDF","TIC","N/A","Not Feasible"
"EAL","AIC","EJT","EMN","IEO","EAL","N/A","Not Feasible"
"LML","EJT","FDF","KED","TIY","LML","N/A","Not Feasible"
"AIC","FDF","IEO","NKC","KFA","AIC","N/A","Not Feasible"
"EJT","IEO","TIY","SEY","EMN","EJT","N/A","Not Feasible"
"FDF","TIY","KFA","ATR","KED","FDF","N/A","Not Feasible"
"IEO","KFA","NDB","NKC","EMN","IEO","5","A319"
"TIY","KED","SEY","MRU","EMN","TIY","252","A320"
"KFA","KED","NKC","ATR","RRG","KFA","279","A321"
"EMN","NKC","NDB","SEY","DZA","EMN","6668","A330"
"KED","SEY","ATR","ACA","MRU","KED","N/A","Not Feasible"
"NKC","NTR","NDB","RRG","ATR","NKC","827","747"
"SEY","AGU","NDB","DZA","MRU","SEY","2389","757"
"ATR","MRU","RRG","HUX","ACA","ATR","N/A","Not Feasible"
"NDB","RRG","DZA","CVJ","NTR","NDB","N/A","Not Feasible"
"MRU","DZA","ACA","CME","AGU","MRU","N/A","Not Feasible"
"RRG","ACA","NTR","CUL","HUX","RRG","N/A","Not Feasible"
"DZA","NTR","AGU","CTM","CVJ","DZA","N/A","Not Feasible"
"ACA","AGU","CEN","CME","HUX","ACA","282","MD11"
"NTR","CPE","HUX","CVJ","CUL","NTR","257","A400M"
"AGU","CME","CTM","CVJ","CJS","AGU","331","C212"
"HUX","CME","CUU","CEN","CUL","HUX","287","V22"
"CVJ","CUL","CVM","CPE","CTM","CVJ","263","BB1"
"CME","CTM","CEN","CZM","CJS","CME","N/A","Not Feasible"
"CUL","CEN","CPE","DGO","CUU","CUL","N/A","Not Feasible"
"CTM","CPE","CJS","TPQ","CVM","CTM","N/A","Not Feasible"
"CEN","CUU","CZM","CJS","ESE","CEN","404","A319"
"CPE","CVM","CUU","DGO","GDL","CPE","252","A320"
"CJS","CZM","CVM","TPQ","GYM","CJS","354","A321"
"CUU","CZM","TCN","DGO","ESE","CUU","412","A330"
"CVM","DGO","HMO","TPQ","GDL","CVM","196","737"
"CZM","ESE","GYM","TPQ","CLQ","CZM","419","747"
"DGO","ESE","ISJ","TCN","GDL","DGO","420","757"
"TPQ","GDL","SLW","HMO","GYM","TPQ","178","767"
"ESE","GYM","TCN","LZC","CLQ","ESE","307","777"
"GDL","TCN","ISJ","HMO","LMM","GDL","346","BAE146"
"GYM","HMO","SLW","BJX","CLQ","GYM","194","DC8"
"TCN","ISJ","LZC","CLQ","LAP","TCN","328","F50"
"HMO","SLW","ISJ","LMM","LTO","HMO","335","MD11"
"CLQ","SLW","MAM","BJX","LZC","CLQ","137","A400M"
"ISJ","LZC","LMM","MID","LAP","ISJ","N/A","Not Feasible"
"SLW","BJX","LMM","LTO","MXL","SLW","249","V22"
"LZC","LAP","MAM","BJX","MLM","LZC","208","A319"
"LMM","LTO","LAP","MTT","MID","LMM","298","A320"
"BJX","LTO","MXL","LOV","MAM","BJX","275","A321"
"LAP","MAM","MID","MEX","MLM","LAP","277","A330"
"LTO","MXL","MTY","MID","MTT","LTO","379","737"
"MAM","MLM","MZT","MXL","LOV","MAM","285","747"
"MID","MTT","MEX","MLM","NOG","MID","324","757"
"MXL","LOV","MTY","MTT","NLD","MXL","333","767"
"MLM","MEX","OAX","LOV","MZT","MLM","187","777"
"MTT","MEX","NOG","MTY","PAZ","MTT","276","BAE146"
"LOV","MZT","PBC","MTY","NLD","LOV","165","DC8"
"MEX","MZT","NOG","PCA","OAX","MEX","266","F50"
"MTY","NLD","NOG","PPE","PAZ","MTY","258","MD11"
"MZT","PDS","NLD","OAX","PBC","MZT","208","A400M"
"NOG","UPN","OAX","PAZ","PCA","NOG","275","C212"
"NLD","PAZ","PBC","PVR","PPE","NLD","279","V22"
"OAX","PXM","PBC","PCA","PDS","OAX","178","BB1"
"PAZ","PCA","PPE","QRO","UPN","PAZ","N/A","Not Feasible"
"PBC","PPE","PDS","REX","PVR","PBC","N/A","Not Feasible"
"PCA","PDS","SJD","UPN","PXM","PCA","251","SAH"
"PPE","PVR","UPN","QRO","SLP","PPE","234","A319"
"PDS","PVR","PXM","TXA","REX","PDS","214","A320"
"UPN","PXM","QRO","TRC","SJD","UPN","214","A321"
"PVR","QRO","TGZ","REX","SLP","PVR","216","A330"
"PXM","SJD","TIJ","REX","TXA","PXM","360","737"
"QRO","SJD","TRC","SLP","TAM","QRO","168","747"
"REX","SLP","TSL","TXA","TGZ","REX","171","757"
"SJD","TLC","TXA","TRC","TIJ","SJD","300","767"
"SLP","TRC","TAM","TGZ","TAP","SLP","205","777"
"TXA","TGZ","CUN","TSL","TIJ","TXA","441","BAE146"
"TRC","TIJ","TLC","VSA","TAM","TRC","360","DC8"
"TGZ","TAM","TSL","VER","TAP","TGZ","131","F50"
"TIJ","TSL","CUN","TLC","ZCL","TIJ","428","MD11"
"TAM","TLC","ZIH","TAP","VSA","TAM","166","A400M"
"TSL","CUN","TAP","VER","ZMM","TSL","233","C212"
"TLC","VSA","CUN","ZCL","ZLO","TLC","247","V22"
"TAP","VSA","VER","ZIH","SCX","TAP","141","BB1"
"CUN","VER","ZCL","ZMM","JAL","CUN","227","BA10"
"VSA","ZCL","ZIH","GUB","ZLO","VSA","N/A","Not Feasible"
"VER","ZIH","ZMM","CUA","SCX","VER","N/A","Not Feasible"
"ZCL","ZLO","ZMM","CYW","JAL","ZCL","123","A319"
"ZIH","ZLO","PVP","GUB","SCX","ZIH","290","A320"
"ZMM","SCX","PCM","JAL","CUA","ZMM","342","A321"
"ZLO","TKK","GUB","CYW","JAL","ZLO","10364","A330"
"SCX","GUB","CUA","PNI","PVP","SCX","N/A","Not Feasible"
"JAL","CYW","KSA","CUA","PCM","JAL","9706","747"
"GUB","CYW","PVP","YAP","TKK","GUB","11838","757"
"CUA","ULI","PNI","PVP","PCM","CUA","12092","767"
"CYW","PCM","TKK","KSA","MDY","CYW","12452","777"
"PVP","TKK","PNI","KIV","YAP","PVP","N/A","Not Feasible"
"PCM","PNI","KSA","BZY","ULI","PCM","N/A","Not Feasible"
"TKK","KSA","YAP","MCM","MDY","TKK","N/A","Not Feasible"
"PNI","ULI","YAP","ULN","KIV","PNI","7684","MD11"
"KSA","ULI","MDY","AVK","BZY","KSA","N/A","Not Feasible"
"YAP","MDY","KIV","LTI","MCM","YAP","N/A","Not Feasible"
"ULI","KIV","BZY","BYN","ULN","ULI","N/A","Not Feasible"
"MDY","BZY","MCM","DLZ","AVK","MDY","N/A","Not Feasible"
"KIV","MCM","ULN","HVD","LTI","KIV","N/A","Not Feasible"
"BZY","ULN","AVK","MXV","BYN","BZY","N/A","Not Feasible"
"MCM","AVK","LTI","COQ","DLZ","MCM","N/A","Not Feasible"
"ULN","LTI","BYN","ULG","HVD","ULN","N/A","Not Feasible"
"AVK","BYN","DLZ","UGA","MXV","AVK","N/A","Not Feasible"
"LTI","DLZ","HVD","ULO","COQ","LTI","N/A","Not Feasible"
"BYN","HVD","MXV","TGD","ULG","BYN","5340","A330"
"DLZ","COQ","TIV","MXV","UGA","DLZ","6023","737"
"HVD","COQ","ULG","MNI","ULO","HVD","4302","747"
"MXV","UGA","TGD","AGA","ULG","MXV","3656","757"
"COQ","UGA","TIV","TTA","ULO","COQ","3906","767"
"ULG","ULO","MNI","TGD","FEZ","ULG","5875","777"
